id,year_birth,consumer_seg,region,cltv,activation_dt,recency,device_type,data_rev_6mths,voice_rev_6mths,tot_rev_6mths,total_purchases,total_engagements,digital_channel_purchases,ussd_channel_purchases,other_channels_purchases,PrevResponseCnt,complaint_cnt,response
11110,1973,Youth Seg,West,3502,2013-04-13,56,Non Smartphone,3,1,5,0,14,0,0,0,0,0,0
3955,1965,Youth Seg,East,4861,2014-06-22,20,Smartphone,3,2,6,0,14,0,0,0,0,0,0
5555,1975,Youth Seg,East,153924,2014-02-07,81,Smartphone,2,3,6,0,0,0,0,0,0,0,0
6862,1971,Youth Seg,East,1730,2014-05-18,65,Smartphone,2,5,8,0,20,0,0,0,0,0,0
11181,1949,HV seg,North,156924,2013-08-29,85,Smartphone,3,4,8,0,0,0,0,0,0,0,0
9931,1963,HV seg,North,4023,2014-06-23,29,Non Smartphone,5,3,9,0,19,0,0,0,0,0,0
9303,1976,Youth Seg,North,5305,2013-07-30,12,Smartphone,16,11,32,1,13,1,0,0,0,0,0
5899,1950,HV seg,Lagos,5648,2014-03-13,68,Non Smartphone,28,8,49,1,20,1,0,0,1,0,0
1503,1976,HV seg,Lagos,162397,2013-06-03,31,Non Smartphone,86,19,107,1,1,0,1,0,0,0,0
4303,1957,HV seg,Lagos,6835,2012-12-08,76,Smartphone,109,16,137,1,20,0,1,0,0,0,0
8720,1978,Youth Seg,Lagos,,2012-08-12,53,Smartphone,34,1623,1679,1,0,0,1,0,1,0,0
10749,1991,Youth Seg,West,8028,2012-09-18,62,Smartphone,91,85,178,1,19,0,0,1,0,0,0
5336,1971,Mass Mkt Seg,Lagos,157733,2013-06-04,37,Non Smartphone,40,11,59,2,1,1,1,0,0,0,0
4246,1982,Mass Mkt Seg,West,6560,2013-12-12,2,Smartphone,78,33,373,2,17,1,1,0,0,0,0
5824,1972,HV seg,Lagos,34578,2014-04-11,1,Non Smartphone,7,1,8,3,6,1,2,0,0,0,0
10104,1974,Youth Seg,Lagos,33590,2013-11-03,65,Non Smartphone,4,2,8,3,7,1,2,0,0,0,0
8566,1961,HV seg,Lagos,32583,2014-06-15,10,Non Smartphone,5,3,9,3,7,1,2,0,0,0,0
4259,1986,Mass Mkt Seg,West,19485,2013-09-24,80,Non Smartphone,6,4,10,3,7,1,2,0,0,0,0
4298,1973,HV seg,Lagos,20427,2014-03-24,63,Non Smartphone,5,4,10,3,8,1,2,0,0,0,0
10492,1959,Youth Seg,Lagos,38285,2014-06-24,96,Non Smartphone,2,7,10,3,2,0,3,0,0,0,0
7788,1983,HV seg,North,23536,2014-06-04,53,Non Smartphone,6,3,10,3,3,0,3,0,0,0,0
6528,1982,Mass Mkt Seg,Lagos,18492,2014-06-05,75,Non Smartphone,4,5,10,3,8,1,2,0,0,0,0
5329,1949,HV seg,East,35946,2013-09-27,24,Non Smartphone,8,3,11,3,5,0,3,0,0,0,0
6961,1974,Youth Seg,North,26751,2014-05-22,26,Non Smartphone,2,8,11,3,8,1,2,0,0,0,0
891,1951,Mass Mkt Seg,Lagos,29298,2013-09-07,60,Non Smartphone,6,4,11,3,5,1,2,0,0,0,0
1386,1967,Youth Seg,Lagos,32474,2014-05-11,0,Non Smartphone,10,1,11,3,7,1,2,0,0,0,0
6742,1979,Youth Seg,North,17688,2013-01-13,82,Non Smartphone,4,5,11,3,8,1,2,0,0,1,0
1109,1982,Mass Mkt Seg,Lagos,27590,2013-04-23,38,Non Smartphone,6,5,12,3,7,1,2,0,0,0,0
9725,1966,HV seg,Lagos,28764,2014-06-05,16,Non Smartphone,8,3,12,3,8,1,2,0,1,0,0
10757,1967,HV seg,East,28420,2013-12-24,36,Non Smartphone,6,7,13,3,6,1,2,0,0,0,0
11148,1975,Youth Seg,Lagos,22280,2013-05-19,85,Non Smartphone,3,8,13,3,8,1,2,0,0,0,0
10067,1976,Youth Seg,Lagos,25176,2013-08-10,79,Non Smartphone,4,4,13,3,7,1,2,0,0,0,0
7196,1950,HV seg,North,41145,2014-02-08,20,Non Smartphone,9,3,13,3,3,0,3,0,0,0,0
2795,1958,Mass Mkt Seg,West,30523,2013-07-01,0,Non Smartphone,5,3,13,3,7,1,2,0,0,0,0
5846,1977,Youth Seg,East,40246,2012-12-19,68,Non Smartphone,3,9,13,3,6,1,2,0,0,0,0
9960,1991,Youth Seg,West,26868,2014-04-30,52,Non Smartphone,0,12,14,3,7,1,2,0,0,0,0
10241,1975,Youth Seg,East,11448,2013-12-15,16,Smartphone,0,8,14,3,6,1,2,0,0,0,0
5029,1946,Youth Seg,North,18100,2013-08-06,14,Smartphone,4,9,14,3,5,0,3,0,0,0,0
9553,1987,Youth Seg,North,7500,2013-01-09,94,Smartphone,2,8,15,3,6,0,3,0,0,0,0
8663,1974,Youth Seg,East,39996,2014-05-22,85,Non Smartphone,11,3,15,3,6,1,2,0,0,0,0
7128,1977,HV seg,West,42997,2013-12-07,91,Non Smartphone,4,6,15,3,7,1,2,0,0,0,0
10207,1978,Youth Seg,Lagos,22775,2013-06-19,40,Non Smartphone,6,8,15,3,8,1,2,0,0,0,0
4838,1978,Youth Seg,Lagos,22775,2013-06-19,40,Non Smartphone,6,8,15,3,8,1,2,0,0,0,0
9291,1959,Mass Mkt Seg,North,34242,2014-03-23,25,Smartphone,10,4,15,3,5,0,3,0,0,0,0
3790,1956,Youth Seg,Lagos,34633,2014-01-23,31,Non Smartphone,9,5,15,3,6,1,2,0,0,0,0
606,1967,Youth Seg,West,25930,2013-10-10,87,Non Smartphone,7,4,15,3,7,1,2,0,0,0,0
9523,1982,Youth Seg,Lagos,40479,2013-08-17,95,Non Smartphone,5,10,15,3,4,0,3,0,0,0,0
9213,1970,Youth Seg,East,31880,2012-10-31,13,Non Smartphone,5,7,15,3,8,1,2,0,0,0,0
692,1954,Youth Seg,Lagos,36807,2012-12-20,88,Non Smartphone,6,5,16,3,6,1,2,0,0,0,0
6679,1966,Youth Seg,West,33279,2014-06-12,29,Smartphone,13,3,16,3,3,0,3,0,0,0,0
5423,1983,Youth Seg,Lagos,28359,2013-10-27,35,Non Smartphone,6,8,16,3,7,1,2,0,0,0,0
2261,1969,Youth Seg,North,26304,2013-06-23,5,Non Smartphone,5,7,16,3,7,1,2,0,0,0,0
11030,1976,Mass Mkt Seg,North,33181,2014-01-03,90,Non Smartphone,9,3,16,3,6,1,2,0,1,0,0
8916,1975,Youth Seg,East,36627,2013-07-23,78,Non Smartphone,10,5,16,3,5,0,3,0,0,0,0
6825,1953,Youth Seg,Lagos,41452,2013-03-06,86,Non Smartphone,13,3,16,3,7,1,2,0,0,0,0
10022,1973,HV seg,West,54466,2014-02-09,78,Non Smartphone,12,4,16,3,5,1,2,0,0,0,0
193,1996,Youth Seg,North,14421,2014-02-17,81,Smartphone,0,8,16,3,5,1,2,0,1,0,0
8461,1962,Youth Seg,East,46102,2014-03-10,3,Non Smartphone,14,1,16,3,7,1,2,0,0,0,0
4808,1956,Youth Seg,North,15759,2013-09-05,12,Smartphone,3,11,17,3,7,1,2,0,0,0,0
3153,1957,HV seg,West,40737,2013-12-08,24,Non Smartphone,11,4,17,3,8,1,2,0,0,0,0
7264,1978,Youth Seg,West,52195,2014-05-12,2,Non Smartphone,12,4,17,3,8,1,2,0,0,0,0
3525,1970,Youth Seg,Lagos,38200,2012-12-07,19,Non Smartphone,12,4,17,3,7,1,2,0,0,0,0
9392,1971,Youth Seg,West,26954,2014-05-08,17,Non Smartphone,5,11,17,3,7,1,2,0,0,0,0
1581,1980,Youth Seg,North,37406,2013-10-10,18,Non Smartphone,2,12,17,3,8,1,2,0,0,0,1
9530,1988,Youth Seg,North,24645,2012-11-01,16,Non Smartphone,8,9,17,3,8,1,2,0,0,0,0
2098,1969,HV seg,North,33581,2013-01-08,38,Non Smartphone,11,5,17,3,8,1,2,0,0,0,0
6119,1963,HV seg,West,36736,2013-05-10,52,Non Smartphone,10,3,17,3,6,1,2,0,0,0,0
7990,1947,Youth Seg,North,27469,2012-08-02,2,Smartphone,10,7,17,3,6,0,3,0,0,0,0
3726,1986,HV seg,Lagos,34320,2014-02-16,66,Non Smartphone,5,12,17,3,8,1,2,0,0,0,0
5907,1952,Mass Mkt Seg,North,33444,2012-11-03,24,Non Smartphone,8,8,18,3,8,1,2,0,0,0,0
73,1953,HV seg,West,51411,2013-05-26,81,Non Smartphone,14,3,18,3,5,0,3,0,0,0,0
10710,1979,Youth Seg,North,7500,2012-08-29,61,Smartphone,7,6,18,3,8,1,2,0,0,0,0
8234,1973,Youth Seg,Lagos,27190,2013-08-15,13,Non Smartphone,7,8,18,3,8,1,2,0,1,0,1
9235,1957,Youth Seg,West,,2014-05-27,45,Non Smartphone,7,10,18,3,7,1,2,0,0,0,0
1940,1986,Youth Seg,North,25252,2013-07-12,26,Non Smartphone,4,8,18,3,8,1,2,0,0,0,0
9283,1978,Youth Seg,West,60199,2013-09-12,49,Non Smartphone,9,9,18,3,4,0,3,0,0,0,0
6516,1989,Youth Seg,North,17487,2013-03-18,37,Non Smartphone,0,12,18,3,7,1,2,0,0,0,0
4817,1956,Youth Seg,East,22304,2012-08-04,91,Smartphone,5,11,18,3,8,1,2,0,0,0,0
10401,1976,Youth Seg,Lagos,26326,2013-09-04,12,Smartphone,1,8,18,3,3,0,3,0,0,1,0
9850,1972,Youth Seg,North,24884,2012-11-29,32,Non Smartphone,9,7,19,3,7,0,3,0,0,0,0
1994,1983,Youth Seg,North,,2013-11-15,11,Non Smartphone,10,8,19,3,7,1,2,0,0,0,0
2724,1981,Mass Mkt Seg,West,36143,2014-03-30,33,Non Smartphone,12,1,19,3,3,0,2,1,0,0,0
2836,1972,HV seg,North,43269,2013-09-16,61,Non Smartphone,11,7,19,3,8,1,2,0,0,0,0
8754,1974,HV seg,Lagos,45068,2013-05-16,25,Smartphone,14,3,20,3,7,1,2,0,0,0,0
3081,1978,HV seg,North,41014,2013-04-22,65,Non Smartphone,9,8,20,3,7,1,2,0,0,0,0
10141,1960,Mass Mkt Seg,East,39228,2013-05-10,1,Smartphone,8,9,20,3,4,0,3,0,0,0,0
7284,1953,Youth Seg,North,48686,2013-12-04,8,Non Smartphone,10,9,20,3,8,1,2,0,0,0,0
361,1969,Mass Mkt Seg,North,43142,2014-02-18,84,Non Smartphone,6,10,20,3,7,1,2,0,0,0,0
10364,1959,Youth Seg,East,23295,2013-07-13,72,Smartphone,0,15,20,3,8,1,2,0,0,0,0
2986,1976,Youth Seg,North,30772,2014-03-12,89,Non Smartphone,9,7,20,3,6,1,2,0,0,0,0
4037,1976,Youth Seg,East,31859,2013-06-14,77,Non Smartphone,4,11,20,3,7,1,2,0,0,0,0
8275,1965,HV seg,East,47025,2014-02-09,6,Non Smartphone,16,3,20,3,7,1,2,0,0,0,0
4345,1964,Youth Seg,West,,2014-01-12,49,Non Smartphone,6,11,21,3,7,1,2,0,0,0,0
1463,1958,Youth Seg,West,45160,2014-03-29,9,Non Smartphone,10,8,21,3,7,1,2,0,0,0,0
10686,1965,HV seg,Lagos,34230,2012-12-26,72,Non Smartphone,15,4,21,3,7,1,2,0,0,0,0
10381,1979,Youth Seg,West,47691,2013-07-05,43,Smartphone,14,3,21,3,6,1,2,0,0,0,0
10790,1985,HV seg,North,18169,2013-02-19,40,Non Smartphone,9,5,21,3,8,1,2,0,0,0,0
803,1968,Youth Seg,Lagos,40521,2013-04-05,82,Non Smartphone,12,5,21,3,5,0,2,1,0,0,0
8080,1986,Youth Seg,West,26816,2012-08-17,50,Smartphone,6,13,22,3,4,0,3,0,0,0,0
7093,1985,Youth Seg,North,19986,2013-11-14,74,Non Smartphone,9,7,22,3,7,0,3,0,0,0,0
1183,1949,Mass Mkt Seg,North,36408,2013-09-21,11,Non Smartphone,10,9,22,3,6,1,2,0,0,0,0
2375,1972,Youth Seg,Lagos,30261,2012-09-25,75,Non Smartphone,8,8,22,3,8,0,3,0,0,0,0
9543,1985,Youth Seg,North,19986,2013-11-14,74,Non Smartphone,9,7,22,3,7,0,3,0,0,0,0
11004,1893,Youth Seg,West,60182,2014-05-17,23,Smartphone,8,12,22,3,4,1,2,0,0,0,0
8619,1957,Youth Seg,Lagos,21994,2012-12-24,4,Smartphone,9,10,22,3,5,0,3,0,0,0,0
7901,1971,Mass Mkt Seg,North,34109,2013-11-06,39,Smartphone,10,8,22,3,4,0,3,0,0,0,0
3120,1981,Youth Seg,Lagos,38547,2013-08-28,49,Non Smartphone,7,11,22,3,8,1,2,0,0,1,0
1606,1971,Youth Seg,Lagos,38590,2013-05-15,65,Non Smartphone,4,15,22,3,8,1,2,0,0,0,0
8430,1957,Youth Seg,Lagos,21994,2012-12-24,4,Smartphone,9,10,22,3,5,0,3,0,0,0,0
5577,1983,Youth Seg,Lagos,43776,2014-05-03,77,Non Smartphone,8,12,23,3,6,1,2,0,0,0,0
8315,1995,Youth Seg,West,34824,2014-03-26,65,Smartphone,6,13,23,3,6,1,2,0,0,0,0
